slug,volume,most_expensive_nft_id,volume_eth,max_price,mean_price,median_price,bucket
colorglyphs,1,13288693,6.5,6.5,6.5,6.494788744105208,2021-10-04 00:00:00+00:00
colorglyphs,1,13288915,5.0,5.0,5.0,4.9978110987650854,2021-10-05 00:00:00+00:00
neon-district,1,13306951,1.0,1.0,1.0,0.999,2021-10-01 00:00:00+00:00
binance,1,13362518,0.08,0.08,0.08,0.08005820537516704,2021-10-03 00:00:00+00:00
cryptovoxel-wearables,1,13385305,0.015,0.015,0.015,0.015010551382500346,2021-10-03 00:00:00+00:00
glitch-art-gallery,1,13517177,0.11,0.11,0.11,0.11003010864730743,2021-10-02 00:00:00+00:00
known-origin,19,13524247,49.24400000000001,26.0,2.591789473684211,0.09995839119153871,2021-10-04 00:00:00+00:00
known-origin,8,13543406,20.980000000000004,19.69,2.6225000000000005,0.24982341209247746,2021-10-06 00:00:00+00:00
unstoppable-domains,1,13554930,2.0,2.0,2.0,1.9997051226201594,2021-10-06 00:00:00+00:00
hedgie,1,13609993,0.09,0.09,0.09,0.09008502770839026,2021-10-02 00:00:00+00:00
digital-objects-artwork,1,13627844,35.2,35.2,35.2,35.198402111019675,2021-10-05 00:00:00+00:00
cryptocrystal,1,13631228,0.0945,0.0945,0.0945,0.0945145690679688,2021-10-05 00:00:00+00:00
splinterlands,1,13668850,0.01,0.01,0.01,0.010001681651251936,2021-10-01 00:00:00+00:00
cryptoatoms,1,13679687,0.1,0.1,0.1,0.09995839119153871,2021-10-07 00:00:00+00:00
word,2,13706168,0.185,0.095,0.0925,0.09508336134242105,2021-10-06 00:00:00+00:00
cryptospells,1,13720284,0.02,0.02,0.02,0.019980433599225328,2021-10-06 00:00:00+00:00
vera-nft-market,1,13721098,0.053,0.053,0.053,0.053024485635105895,2021-10-07 00:00:00+00:00
chainfaces,2,13736864,0.2,0.1,0.1,0.09995839119153871,2021-10-04 00:00:00+00:00
word,28,13745192,0.06500000000000004,0.011,0.002321428571428573,0.0019992112090970265,2021-10-01 00:00:00+00:00
chainfaces,2,13745295,0.24000000000000002,0.14,0.12000000000000001,0.1398756933177224,2021-10-03 00:00:00+00:00
rgb,1,13761292,0.222,0.222,0.222,0.2220170714446233,2021-10-03 00:00:00+00:00
chainfaces,5,13772356,0.59,0.2,0.118,0.09995839119153871,2021-10-06 00:00:00+00:00
word,8,13895064,0.023900000000000005,0.0099,0.0029875000000000006,0.0019992112090970265,2021-10-02 00:00:00+00:00
bitairt,1,13908942,0.5,0.5,0.5,0.5000732301419163,2021-10-05 00:00:00+00:00
bitairt,2,14000989,1.75,1.1,0.875,1.0996583401190698,2021-10-07 00:00:00+00:00
unstoppable-domains-animals,1,14044301,0.0019,0.0019,0.0019,0.0019017084961895823,2021-10-03 00:00:00+00:00
cryptomorph,1,14091249,0.02,0.02,0.02,0.019980433599225328,2021-10-01 00:00:00+00:00
ai-human-art,1,14420905,0.036859213612277224,0.036859213612277224,0.036859213612277224,0.036846243702926815,2021-10-05 00:00:00+00:00
ether-legends,1,14438972,0.0001,0.0001,0.0001,9.993370215083882e-05,2021-10-07 00:00:00+00:00
pieth,1,14462502,0.011,0.011,0.011,0.011009442085100163,2021-10-02 00:00:00+00:00
decentraland,19,14476200,446792.0,105000.0,23515.36842105263,12004.089123322521,2021-10-05 00:00:00+00:00
blockcities,1,14541789,0.1,0.1,0.1,0.09995839119153871,2021-10-07 00:00:00+00:00
f1-delta-time,1,14727874,0.01,0.01,0.01,0.010001681651251936,2021-10-02 00:00:00+00:00
cryptovoxels,3,14738460,7.949,4.1,2.6496666666666666,2.2682299576779736,2021-10-04 00:00:00+00:00
f1-delta-time,3,14746579,1290.0,500.0,430.0,399.81482283359463,2021-10-04 00:00:00+00:00
dcl-names,1,14770940,270.0,270.0,270.0,270.1564853106302,2021-10-01 00:00:00+00:00
sappohs-tokens-bazar-v5,1,14973197,0.002,0.002,0.002,0.0019992112090970265,2021-10-04 00:00:00+00:00
blockcities,2,15455299,0.2277,0.1277,0.11385,0.12758133625878793,2021-10-01 00:00:00+00:00
blockcities,1,15502344,0.1,0.1,0.1,0.09995839119153871,2021-10-02 00:00:00+00:00
cryptovoxels,4,15586856,8.836353376353376,3.35,2.209088344088344,2.5779636791995,2021-10-05 00:00:00+00:00
arenagolf-golfer-nft,1,15679442,0.025,0.025,0.025,0.02499694329804289,2021-10-03 00:00:00+00:00
cryptovoxel-wearables,2,15807130,0.016,0.01,0.008,0.010001681651251936,2021-10-01 00:00:00+00:00
venusscramble,4,15808353,0.0225,0.009,0.005625,0.004503041142574657,2021-10-03 00:00:00+00:00
known-origin,9,15867067,2.8495,0.88,0.3166111111111111,0.18994873601636666,2021-10-03 00:00:00+00:00
eggryptomonster,1,15953123,0.09,0.09,0.09,0.09008502770839026,2021-10-05 00:00:00+00:00
avastar,29,15979234,9.598900000000002,1.0,0.330996551724138,0.29025340931693716,2021-10-01 00:00:00+00:00
avastar,7,15995403,1.4079000000000002,0.294,0.20112857142857146,0.17996352785199504,2021-10-05 00:00:00+00:00
avastar,16,16017914,3.2557999999999994,0.2599,0.20348749999999996,0.18994873601636666,2021-10-07 00:00:00+00:00
avastar,25,16017924,5.1458,0.599,0.20583200000000001,0.17499443929850983,2021-10-04 00:00:00+00:00
avastar,14,16017931,3.4487,0.79,0.2463357142857143,0.19495216757395561,2021-10-02 00:00:00+00:00
gods-unchained-collectibles,5,16061391,1.1905000000000001,0.9,0.23810000000000003,0.12405860604112255,2021-10-03 00:00:00+00:00
gods-unchained-collectibles,8,16075720,0.21700000000000003,0.05,0.027125000000000003,0.03497920217560997,2021-10-04 00:00:00+00:00
avastar,28,16108156,4.9261,0.359,0.17593214285714284,0.17016255544059322,2021-10-03 00:00:00+00:00
blockchaincuties,18,16173413,0.10320000000000003,0.0612,0.005733333333333335,0.004996576673519172,2021-10-03 00:00:00+00:00
technorigami-blockchain-fine-art-gallery,1,16182353,30.0,30.0,30.0,29.99409814075447,2021-10-03 00:00:00+00:00
nino-arteiro,1,16187572,0.08,0.08,0.08,0.08005820537516704,2021-10-06 00:00:00+00:00
league-of-kingdoms,1,16210814,0.28,0.28,0.28,0.279990130588084,2021-10-03 00:00:00+00:00
league-of-kingdoms,1,16225205,0.185,0.185,0.185,0.18507371712360224,2021-10-07 00:00:00+00:00
town-star,35,16288169,3.372304466688001,1.23,0.09635155619108574,0.004503041142574657,2021-10-02 00:00:00+00:00
town-star,42,16288169,4.932303640335,1.25,0.11743580096035715,3.600562939385545e-07,2021-10-03 00:00:00+00:00
cryptovoxel-wearables,4,16345173,0.026,0.009,0.0065,0.00600596459124994,2021-10-02 00:00:00+00:00
cryptovoxel-wearables,1,16448586,0.01,0.01,0.01,0.010001681651251936,2021-10-07 00:00:00+00:00
decentraland-wearables,2,16470185,0.25,0.2,0.125,0.2000873943088987,2021-10-01 00:00:00+00:00
binance,2,16475534,0.0059,0.0049,0.00295,0.004897637793808037,2021-10-02 00:00:00+00:00
decentraland-wearables,7,16479739,2296.0,595.0,328.0,299.76576939095554,2021-10-02 00:00:00+00:00
ens,21,16519258,8.3608,3.0,0.3981333333333333,0.17016255544059322,2021-10-01 00:00:00+00:00
xcopy,2,16564259,87.0,80.0,43.5,80.07798409093887,2021-10-06 00:00:00+00:00
disintermedia-v2,1,16581763,1.0,1.0,1.0,0.999,2021-10-05 00:00:00+00:00
plasma-bears,2,16584418,9.3,5.5,4.65,5.501386043139818,2021-10-01 00:00:00+00:00
mars,1,16586042,0.0,0.0,0.0,0.0,2021-10-06 00:00:00+00:00
mars,3,16586289,0.0,0.0,0.0,0.0,2021-10-03 00:00:00+00:00
mars,1,16586289,0.0,0.0,0.0,0.0,2021-10-02 00:00:00+00:00
coin-artist,1,16680179,1.0,1.0,1.0,0.999,2021-10-03 00:00:00+00:00
inventory-v2,1,16697893,0.3,0.3,0.3,0.3002917127329668,2021-10-04 00:00:00+00:00
whale-store,1,16705626,0.17,0.17,0.17,0.17016255544059322,2021-10-07 00:00:00+00:00
gego-dego,1,16711327,0.019932531180150512,0.019932531180150512,0.019932531180150512,0.01994051265297313,2021-10-03 00:00:00+00:00
blockracers,3,16714398,2.5,2.0,0.8333333333333334,0.24982341209247746,2021-10-05 00:00:00+00:00
